spec_int2006_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,link
554,686,2007-01-01,Hewlett-Packard Company,ProLiant DL380 G5,1333,false,15.5,16.2,19.2,13.8,10.7,17.8,17.4,11.2,16.2,15.1,27.9,11.7,12.5,19.6,http://www.spec.org/cpu2006/results/res2007q1/cpu2006-20070219-00544.html
555,686,2007-01-01,Hewlett-Packard Company,ProLiant ML350 G5,1333,false,15.5,16.2,19.3,13.8,10.7,17.9,17.4,11.2,16.2,15.0,27.9,11.7,12.5,19.9,http://www.spec.org/cpu2006/results/res2007q1/cpu2006-20070205-00358.html
556,686,2007-01-01,Hewlett-Packard Company,ProLiant ML370 G5,1333,false,15.5,16.2,19.2,13.8,10.7,17.8,17.4,11.2,16.2,15.1,27.9,11.7,12.5,19.7,http://www.spec.org/cpu2006/results/res2007q1/cpu2006-20070205-00342.html
557,686,2007-03-01,Bull SAS,NovaScale R440,1333,false,15.4,16.0,19.1,13.6,10.6,17.8,17.4,11.2,16.1,14.8,27.8,11.8,12.5,19.6,http://www.spec.org/cpu2006/results/res2007q2/cpu2006-20070514-01074.html
558,686,2007-03-01,Bull SAS,NovaScale R460,1333,false,15.4,16.0,19.1,13.6,10.6,17.8,17.4,11.2,16.1,14.8,27.8,11.8,12.5,19.6,http://www.spec.org/cpu2006/results/res2007q2/cpu2006-20070514-01078.html
559,687,2007-08-01,Dell Inc.,Dell Precision 690,1333,false,18.1,20.0,21.2,15.2,12.9,20.2,19.5,15.8,17.4,23.4,30.6,13.0,14.4,20.6,http://www.spec.org/cpu2006/results/res2007q3/cpu2006-20070820-01859.html
560,689,2008-03-01,Dell Inc.,PowerEdge R300,0,true,25.5,28.6,21.8,17.9,19.1,31.9,21.1,17.9,21.7,150.0,33.4,17.7,16.1,27.0,http://www.spec.org/cpu2006/results/res2009q1/cpu2006-20090119-06461.html
561,689,2008-10-01,Dell Inc.,PowerEdge T300,0,true,25.5,28.7,21.8,17.9,19.2,32.1,21.1,17.9,21.7,152.0,33.3,17.8,16.1,27.0,http://www.spec.org/cpu2006/results/res2009q1/cpu2006-20090119-06468.html
562,690,2008-09-01,Dell Inc.,PowerEdge R300,0,true,26.2,29.5,22.8,18.8,19.1,31.6,22.1,18.9,22.5,153.0,34.9,17.5,16.7,27.8,http://www.spec.org/cpu2006/results/res2008q4/cpu2006-20081109-05881.html
563,695,2009-04-01,Dell Inc.,Dell Precision T3500,0,true,31.0,33.7,23.3,17.9,27.0,48.1,23.1,23.2,25.1,223.0,36.9,24.6,17.7,30.0,http://www.spec.org/cpu2006/results/res2009q2/cpu2006-20090316-06716.html
564,229,2008-10-01,Fujitsu Limited,Fujitsu SPARC Enterprise M3000,0,false,11.5,12.6,9.91,10.3,9.42,15.7,11.0,9.27,8.27,25.2,18.4,6.6,10.1,13.2,http://www.spec.org/cpu2006/results/res2008q4/cpu2006-20081023-05678.html
565,230,2010-01-01,Fujitsu,Fujitsu SPARC Enterprise M3000,0,false,13.6,14.8,11.3,11.1,10.4,17.9,12.8,10.2,9.1,58.6,20.6,7.59,10.3,15.7,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20091217-09277.html
566,230,2010-01-01,Sun Microsystems,Sun SPARC Enterprise M3000,0,false,13.6,14.8,11.3,11.1,10.4,17.9,12.8,10.2,9.1,58.6,20.6,7.59,10.3,15.7,http://www.spec.org/cpu2006/results/res2010q1/cpu2006-20091218-09312.html
