spec_int1995_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,099_go,124_m88ksim,126_gcc,129_compress,130_li,132_ijpeg,134_perl,147_vortex,link
475,722,1997-03-01,SNI; Paderborn / Germany,RM200 Model C40,4.9,4.94,4.9,4.61,5.06,4.15,5.27,4.36,6.47,4.72,http://www.spec.org/cpu95/results/res97q1/cpu95-970303-01701.html
476,723,1997-04-01,SNI; Paderborn / Germany,RM300 Model C50,5.74,5.78,5.86,5.13,6.01,5.5,6.11,4.91,7.27,5.45,http://www.spec.org/cpu95/results/res97q1/cpu95-970303-01694.html
477,702,1997-04-01,SNI; Paderborn / Germany,RM300 Model C80,8.83,9.02,9.41,8.62,8.64,8.72,9.01,8.32,9.63,8.38,http://www.spec.org/cpu95/results/res97q1/cpu95-970303-01695.html
478,702,1997-04-01,SNI; Paderborn / Germany,RM400 Model C80,9.47,9.63,9.71,8.84,9.47,9.78,9.51,8.93,10.1,9.5,http://www.spec.org/cpu95/results/res97q1/cpu95-970303-01696.html
479,760,1997-04-01,Sun; Mountain View,Enterprise Server Model 3002/1,8.96,10.4,10.2,8.95,9.51,10.1,7.35,8.91,8.11,8.94,http://www.spec.org/cpu95/results/res97q2/cpu95-970409-01744.html
480,740,1995-12-01,Sun; Mountain View,SPARCstation 20 Model 151,3.77,4.02,5.36,3.28,3.74,4.04,4.18,4.03,3.0,3.04,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00485.html
481,753,1995-01-01,Sun MountainView;CA,SPARCstation 20 Model 71,2.46,0.0,3.57,2.02,2.58,2.5,2.04,2.32,2.78,2.18,http://www.spec.org/cpu95/results/res9509/p039.html
482,231,1997-01-01,Sun; Mountain View,SPARCstation 5 Model 170,3.41,3.53,4.19,3.41,3.65,3.67,3.0,3.93,3.12,2.6,http://www.spec.org/cpu95/results/res97q2/cpu95-970429-01834.html
483,750,1993-04-01,Sun; Mountain View,SPARCstation/server 10 Model 40,1.06,1.13,1.13,1.01,1.01,1.15,1.22,1.16,0.723,1.15,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00490.html
484,753,1995-02-01,Sun; Mountain View,SPARCstation/server 20 Model 71,2.82,3.11,4.5,2.41,2.73,3.08,3.05,3.2,1.6,2.83,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00487.html
485,201,1995-05-01,Sun; Mountain View,SPARCstation/server 4/110 & 5/110,1.37,1.59,1.9,1.18,1.32,1.69,1.43,1.83,0.601,1.6,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00489.html
486,765,1999-03-01,Sun; Palo Alto,Sun Enterprise 250,13.5,16.8,14.8,12.9,15.2,16.0,11.4,14.1,11.4,12.9,http://www.spec.org/cpu95/results/res99q1/cpu95-19990226-03435.html
487,761,1998-07-01,Sun; Palo Alto,Sun Enterprise 250,10.1,12.8,10.0,9.44,11.6,12.2,8.52,10.4,8.95,9.79,http://www.spec.org/cpu95/results/res98q4/cpu95-981007-03100.html
488,765,1998-12-01,Sun; Palo Alto,Sun Enterprise 3500,14.3,17.7,16.2,13.0,15.8,16.8,11.8,14.6,13.8,13.6,http://www.spec.org/cpu95/results/res99q1/cpu95-19990122-03268.html
489,765,1999-05-01,Sun; Palo Alto,Sun Enterprise 3500/4500,14.9,18.3,16.9,13.5,16.4,17.2,12.3,15.4,14.3,14.3,http://www.spec.org/cpu95/results/res99q2/cpu95-19990511-03615.html
490,765,1998-11-01,Sun; Palo Alto,Sun Enterprise 450,14.0,17.4,15.5,12.9,16.0,15.9,11.7,14.4,12.2,13.8,http://www.spec.org/cpu95/results/res98q4/cpu95-981109-03155.html
491,755,1996-11-01,Sun; Mountain View,Sun Ultra 1 Creator Model 140E,5.06,5.87,5.64,4.38,5.4,5.95,4.22,5.11,5.02,4.97,http://www.spec.org/cpu95/results/res96q4/cpu95-961108-01465.html
492,757,1996-07-01,Sun; Mountain View,Sun Ultra 1 Creator Model 200E,6.62,7.44,7.77,5.57,7.21,8.2,5.83,6.8,5.69,6.37,http://www.spec.org/cpu95/results/res96q3/cpu95-960822-01175.html
493,755,1995-11-01,Sun; Mountain View,Sun Ultra 1 Model 140,4.81,5.41,5.48,4.2,5.35,5.95,4.19,5.01,4.11,4.5,http://www.spec.org/cpu95/results/res96q2/cpu95-960606-00851.html
494,755,1995-11-01,Sun; Mountain View,Sun Ultra 1 Model 140,4.52,4.66,5.3,3.9,4.59,5.99,4.4,4.64,3.23,4.67,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00492.html
495,756,1995-11-01,Sun; Mountain View,Sun Ultra 1 Model 170,5.58,6.26,6.54,4.93,6.1,6.96,4.85,5.81,4.58,5.34,http://www.spec.org/cpu95/results/res96q2/cpu95-960606-00850.html
496,756,1995-11-01,Sun; Mountain View,Sun Ultra 1 Model 170,5.26,5.56,6.25,4.48,5.39,7.05,5.15,5.4,3.72,5.35,http://www.spec.org/cpu95/results/res96q1/cpu95-960228-00494.html
497,758,1997-07-01,Sun; Mountain View,Sun Ultra 2 Model 30,8.62,10.0,9.83,8.85,9.12,9.66,7.32,8.13,8.16,8.22,http://www.spec.org/cpu95/results/res97q3/cpu95-970721-01989.html
498,759,1997-07-01,Sun; Mountain View,Sun Ultra 2 Model 30,10.2,12.1,11.8,10.7,11.2,11.5,8.5,9.7,8.63,9.86,http://www.spec.org/cpu95/results/res97q3/cpu95-970721-01999.html
499,771,1998-03-01,Sun; Palo Alto,Sun Ultra AXi,11.3,14.0,12.6,11.5,11.6,12.5,9.24,11.8,11.1,10.7,http://www.spec.org/cpu95/results/res98q2/cpu95-980428-02732.html
500,759,1997-08-01,Sun; Mountain View,Sun Ultra Enterprise 450,10.4,12.1,12.1,10.6,11.3,11.6,8.6,9.87,10.1,9.66,http://www.spec.org/cpu95/results/res97q3/cpu95-970819-02045.html
501,770,1998-01-01,Sun; Palo Alto,Ultra 10 300MHz,9.57,12.1,10.5,10.1,9.38,11.3,8.38,10.5,8.08,8.81,http://www.spec.org/cpu95/results/res98q1/cpu95-980128-02369.html
502,771,1998-06-01,Sun; Palo Alto,Ultra 10 333MHz,11.3,14.1,12.4,11.4,11.6,12.4,9.28,11.6,11.1,10.7,http://www.spec.org/cpu95/results/res98q3/cpu95-980718-02906.html
503,771,1998-11-01,Sun; Palo Alto,Ultra 10 Model 333,11.0,14.1,12.2,11.5,11.4,13.1,8.98,11.6,10.0,9.66,http://www.spec.org/cpu95/results/res98q4/cpu95-981118-03193.html
504,772,1998-11-01,Sun; Palo Alto,Ultra 10 Model 360,11.9,15.2,13.1,11.3,12.4,14.2,9.89,12.6,10.9,11.2,http://www.spec.org/cpu95/results/res98q4/cpu95-981118-03191.html
505,774,1999-05-01,Sun; Palo Alto,Ultra 10 Model 440,15.0,18.1,15.9,14.2,16.0,17.3,12.7,15.8,14.6,13.7,http://www.spec.org/cpu95/results/res99q2/cpu95-19990514-03652.html
506,762,1997-04-01,Sun; Mountain View,Ultra 2 Creator (3D) Model 1300,10.4,12.1,11.2,10.7,11.0,11.8,8.89,10.6,9.22,10.0,http://www.spec.org/cpu95/results/res97q2/cpu95-970430-01842.html
507,765,1999-05-01,Sun; Palo Alto,Ultra 2 Model 1400,13.9,17.2,15.6,13.4,15.7,16.6,11.6,14.5,13.0,11.5,http://www.spec.org/cpu95/results/res99q2/cpu95-19990514-03641.html
508,756,1996-05-01,Sun; Mountain View,Ultra 2 Series 1170,5.5,6.34,6.14,4.87,6.14,6.69,4.77,5.66,4.83,5.25,http://www.spec.org/cpu95/results/res96q2/cpu95-960416-00707.html
509,757,1996-06-01,Sun; Mountain View,Ultra 2 Series 1200,6.9,7.72,8.24,5.89,7.76,8.44,5.89,6.95,5.92,6.71,http://www.spec.org/cpu95/results/res96q2/cpu95-960416-00709.html
510,761,1998-07-01,Sun; Palo Alto,Ultra 450,10.4,13.0,11.5,10.1,11.2,11.4,8.53,10.5,10.2,10.1,http://www.spec.org/cpu95/results/res98q3/cpu95-980718-02911.html
511,769,1998-01-01,Sun; Palo Alto,Ultra 5 270MHz,7.46,9.16,6.91,8.78,7.45,6.89,6.64,9.15,7.43,6.86,http://www.spec.org/cpu95/results/res98q1/cpu95-980127-02356.html
512,769,1998-11-01,Sun; Palo Alto,Ultra 5 Model 270,7.5,9.17,7.95,9.05,7.07,7.5,6.77,9.07,7.03,6.06,http://www.spec.org/cpu95/results/res98q4/cpu95-981118-03189.html
513,771,1998-11-01,Sun; Palo Alto,Ultra 5 Model 333,11.0,14.1,12.2,11.5,11.4,13.1,8.98,11.6,10.0,9.66,http://www.spec.org/cpu95/results/res98q4/cpu95-981118-03188.html
514,772,1999-05-01,Sun; Palo Alto,Ultra 5 Model 360,10.2,12.1,11.0,10.5,9.9,9.43,9.59,11.2,10.6,9.33,http://www.spec.org/cpu95/results/res99q2/cpu95-19990514-03649.html
515,773,2000-03-01,Sun; Palo Alto,Ultra 5 Model 400,13.8,16.5,15.3,14.2,14.9,15.7,11.7,14.5,12.7,12.1,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000317-04139.html
516,761,1998-03-01,Sun; Palo Alto,Ultra 60 296MHz,10.5,13.2,12.0,10.2,11.2,11.6,8.67,10.7,9.95,9.69,http://www.spec.org/cpu95/results/res98q1/cpu95-980127-02362.html
517,764,1998-05-01,Sun; Palo Alto,Ultra 60 Model 1360,12.8,16.1,14.4,12.7,13.8,14.0,10.4,13.0,12.3,12.5,http://www.spec.org/cpu95/results/res98q2/cpu95-980511-02760.html
518,766,1999-05-01,Sun; Palo Alto,Ultra 60 Model 1450,16.2,19.7,18.0,15.1,18.2,18.6,13.1,16.6,15.6,15.4,http://www.spec.org/cpu95/results/res99q2/cpu95-19990514-03646.html
519,766,1999-11-01,Sun; Palo Alto,Ultra 80 Model 1450,16.2,19.7,18.2,15.0,18.3,18.5,13.3,16.6,15.4,15.2,http://www.spec.org/cpu95/results/res99q4/cpu95-19991111-03927.html
520,760,1997-01-01,Sun; Mountain View,Ultra Enterprise 4001/1,8.77,9.74,9.38,9.02,9.16,9.57,7.4,8.81,8.83,8.18,http://www.spec.org/cpu95/results/res97q1/cpu95-961220-01560.html
521,756,1996-08-01,Sun; Mountain View,Ultra Enterprise Model 3000/1,5.63,6.6,6.18,4.81,6.37,6.31,4.82,5.87,5.39,5.52,http://www.spec.org/cpu95/results/res96q3/cpu95-960718-01078.html
