spec_int2000_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,164_gzip,175_vpr,176_gcc,181_mcf,186_crafty,197_parser,252_eon,253_perlbmk,254_gap,255_vortex,256_bzip2,300_twolf,link
709,777,2002-08-01,Sun Microsystems,Sun Blade 150,,false,230.0,246.0,258.0,185.0,211.0,140.0,258.0,209.0,301.0,319.0,201.0,339.0,220.0,198.0,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020813-01555.html
710,785,2003-09-01,Sun Microsystems,Sun Blade 1500,,false,513.0,589.0,449.0,444.0,572.0,297.0,603.0,452.0,667.0,559.0,445.0,818.0,478.0,552.0,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030620-02291.html
711,788,2005-02-01,Sun Microsystems,Sun Blade 1500,,false,697.0,796.0,666.0,600.0,702.0,344.0,822.0,613.0,973.0,759.0,607.0,1310.0,621.0,738.0,http://www.spec.org/cpu2000/results/res2005q1/cpu2000-20050107-03678.html
712,780,2002-10-01,Sun Microsystems,Sun Blade 2000,,false,516.0,576.0,401.0,444.0,560.0,565.0,554.0,462.0,563.0,522.0,370.0,709.0,588.0,541.0,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20021004-01703.html
713,783,2003-04-01,Sun Microsystems,Sun Blade 2000,,false,642.0,722.0,477.0,551.0,681.0,683.0,665.0,571.0,770.0,639.0,465.0,997.0,697.0,658.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030326-01999.html
714,786,2003-12-01,Sun Microsystems,Sun Blade 2500,,false,604.0,696.0,541.0,520.0,666.0,329.0,726.0,534.0,804.0,670.0,523.0,969.0,557.0,654.0,http://www.spec.org/cpu2000/results/res2003q4/cpu2000-20030821-02435.html
715,789,2005-02-01,Sun Microsystems,Sun Blade 2500,,false,739.0,845.0,708.0,632.0,735.0,361.0,875.0,650.0,1035.0,807.0,647.0,1389.0,659.0,796.0,http://www.spec.org/cpu2000/results/res2005q1/cpu2000-20050107-03680.html
716,781,2002-02-01,Sun Microsystems,Sun Blade Model 2050,,false,537.0,610.0,433.0,460.0,577.0,659.0,558.0,488.0,527.0,540.0,372.0,738.0,629.0,570.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011105-01099.html
717,765,1998-12-01,Sun Microsystems,Sun Enterprise 3500/4500,,false,198.0,212.0,143.0,182.0,207.0,317.0,169.0,182.0,190.0,215.0,153.0,262.0,203.0,212.0,http://www.spec.org/cpu2000/results/res2000q4/cpu2000-20001020-00268.html
718,767,2000-08-01,Sun Microsystems,Sun Enterprise 450,,false,225.0,234.0,165.0,212.0,232.0,356.0,175.0,211.0,209.0,247.0,171.0,304.0,237.0,243.0,http://www.spec.org/cpu2000/results/res2000q3/cpu2000-20000810-00176.html
