spec_fp1992_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,013_spice2g6,015_doduc,034_mdljdp2,039_wave5,047_tomcatv,048_ora,052_alvinn,056_ear,077_mdljsp2,078_swm256,089_su2cor,090_hydro2d,093_nasa7,094_fpppp,link
23,161,,Digital,Digital AXPpci33S,107.8,112.7,62.2,108.1,153.8,68.5,58.9,132.7,244.9,341.4,98.0,31.3,118.7,175.0,98.9,98.7,http://performance.netlib.org/performance/html/spec.dpci33f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AXPpci33 233MHz 21066A}
24,162,,Digital,Digital AXPvme100,56.9,60.3,31.0,57.4,69.9,35.7,37.7,90.2,130.6,174.4,41.7,21.7,62.1,82.1,46.1,50.3,http://performance.netlib.org/performance/html/spec.dvme100f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AXPvme100 99MHz 21066A}
25,163,,Digital,AlphaServer 2100 5/250,356.4,410.4,169.1,281.8,296.7,243.4,473.2,299.2,573.9,937.5,177.2,257.6,520.2,383.8,440.9,505.5,http://performance.netlib.org/performance/html/spec.dec21550.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 2100 5/250 250MHz 21164}
26,164,,Digital,AlphaStation 600 5/266,365.0,405.0,184.3,315.3,322.3,256.9,389.7,317.1,630.3,1000.0,189.3,216.7,558.4,424.1,400.0,511.1,http://performance.netlib.org/performance/html/spec.dec266f.cfp92.9_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/266 266MHz 21164}
27,164,,Digital,AlphaStation 600 5/266,362.6,428.6,173.9,304.9,317.9,266.2,378.6,328.3,625.2,1007.9,189.3,199.4,528.7,413.9,431.9,541.2,http://performance.netlib.org/performance/html/spec.dec85266.cfp92.3_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/266 266MHz 21164}
28,165,,Digital,Digital AlphaServer 2100 5/300,420.0,477.3,209.4,350.9,356.3,270.1,552.1,358.5,674.6,1108.7,210.7,333.3,626.2,449.2,461.5,557.6,http://performance.netlib.org/performance/html/spec.d21530f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 2100 5/300 291MHz 21164}
29,165,,Digital,Digital AlphaServer 2100A 5/300,420.0,477.3,209.4,350.9,356.3,270.1,552.1,358.5,674.6,1108.7,210.7,333.3,626.2,449.2,461.5,557.6,http://performance.netlib.org/performance/html/spec.F00417.cfp92.4_96.notes.html#{Digital Equipment Corporation Digital AlphaServer 2100A 5/300 291MHz 21164}
30,166,,Digital,AlphaServer 8200 5/300,444.0,512.9,207.1,357.7,363.6,310.9,646.3,363.7,692.8,1028.2,219.0,338.7,661.5,509.3,549.0,601.3,http://performance.netlib.org/performance/html/spec.dec82500.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 8200 5/300 300MHz 21164}
31,166,,Digital,AlphaServer 8400 5/300,444.0,512.9,207.1,357.7,363.6,310.9,646.3,363.7,692.8,1028.2,219.0,338.7,661.5,509.3,549.0,601.3,http://performance.netlib.org/performance/html/spec.dec84500.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 8400 5/300 300MHz 21164}
32,166,,Digital,AlphaStation 600 5/300,436.1,502.1,215.6,357.7,365.5,291.3,602.3,358.5,725.5,1089.7,214.7,360.8,645.0,480.7,465.4,575.0,http://performance.netlib.org/performance/html/spec.dec300f.cfp92.9_95.notes.html#{Digital Equipment Corporation AlphaStation 600 5/300 300MHz 21164}
