spec_fp1995_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,101_tomcatv,102_swim,103_su2cor,104_hydro2d,107_mgrid,110_applu,125_turb3d,141_apsi,145_fpppp,146_wave5,link
335,506,1997-06-01,Intel Corporation,Intel LT430TX motherboard (233MHz; MMX technology; NT),4.55,5.18,7.63,8.42,3.15,3.04,3.38,1.96,4.79,5.5,5.64,6.25,http://www.spec.org/cpu95/results/res98q1/cpu95-980302-02537.html
336,555,1998-07-01,Intel Corp.,Intel MS440GX motherboard (400MHz; 1MB L2),12.4,13.7,17.6,24.4,9.3,7.94,7.98,7.54,10.8,16.0,20.1,13.0,http://www.spec.org/cpu95/results/res98q3/cpu95-980706-02862.html
337,555,1998-07-01,Intel Corp.,Intel MS440GX motherboard (400MHz; 512KB L2),12.0,13.2,17.5,24.3,7.9,7.81,7.9,7.46,11.0,14.7,20.1,12.8,http://www.spec.org/cpu95/results/res98q3/cpu95-980706-02863.html
338,375,1998-04-01,Intel Corporation,Intel MU440EX motherboard (266MHz; UnixWare 2.0),5.51,6.57,5.9,10.3,4.03,4.52,3.62,5.32,6.35,7.27,5.87,4.49,http://www.spec.org/cpu95/results/res98q2/cpu95-980429-02754.html
339,376,1998-08-01,Intel,Intel MU440EX motherboard (300MHz; Unixware 2.0),5.79,6.88,6.07,10.5,4.15,4.62,3.88,5.73,6.88,7.81,6.23,4.68,http://www.spec.org/cpu95/results/res98q3/cpu95-980831-03031.html
340,377,1998-08-01,Intel,Intel MU440EX motherboard (333MHz; Unixware 2.0),8.85,9.5,13.5,19.4,4.51,5.2,4.33,6.22,9.24,8.8,19.4,11.3,http://www.spec.org/cpu95/results/res98q3/cpu95-980831-03028.html
341,570,1999-11-01,Intel Corporation,Intel OR840 motherboard,28.1,28.9,48.3,93.2,15.1,16.4,26.8,16.1,24.0,21.1,36.9,34.4,http://www.spec.org/cpu95/results/res99q4/cpu95-19991025-03888.html
342,572,1999-11-01,Intel Corporation,Intel OR840 motherboard,29.7,30.5,50.6,93.6,15.7,16.9,28.9,16.9,25.9,22.5,40.6,36.7,http://www.spec.org/cpu95/results/res99q4/cpu95-19991025-03889.html
343,550,1997-05-01,Intel,Intel PD440FX (Portland) motherboard (233MHz),5.91,6.43,8.38,13.2,3.77,3.41,3.47,4.35,6.17,7.25,7.74,6.95,http://www.spec.org/cpu95/results/res97q2/cpu95-970507-01850.html
344,550,1997-07-01,Intel,Intel PD440FX (Portland) motherboard (233MHz; L2 w/ ECC),5.84,6.35,8.34,13.1,3.81,3.4,3.44,4.35,6.1,7.25,7.21,6.81,http://www.spec.org/cpu95/results/res97q2/cpu95-970507-01857.html
345,551,1997-05-01,Intel,Intel PD440FX (Portland) motherboard (266MHz),6.43,6.89,8.87,14.3,3.97,3.48,3.84,4.71,6.9,8.04,8.84,7.76,http://www.spec.org/cpu95/results/res97q2/cpu95-970507-01853.html
346,551,1997-07-01,Intel,Intel PD440FX (Portland) motherboard (266MHz; L2 w/ECC),6.36,6.82,8.85,14.2,3.94,3.47,3.82,4.71,6.83,8.03,8.25,7.68,http://www.spec.org/cpu95/results/res97q2/cpu95-970507-01855.html
347,552,1997-08-01,Intel,Intel PD440FX (Portland) motherboard (300MHz; L2 w/ ECC),6.79,7.2,9.21,15.0,4.08,3.51,4.15,4.98,7.46,8.73,9.28,8.43,http://www.spec.org/cpu95/results/res97q2/cpu95-970507-01858.html
348,550,1998-04-01,Intel Corporation,Intel SE440BX motherboard (233MHz),6.73,7.4,9.87,14.3,4.65,4.59,4.69,4.37,6.44,8.55,7.75,7.22,http://www.spec.org/cpu95/results/res98q2/cpu95-980421-02645.html
349,551,1998-04-01,Intel Corporation,Intel SE440BX motherboard (266MHz),7.45,8.17,10.9,15.8,5.0,4.87,5.22,4.85,7.17,9.58,8.86,8.16,http://www.spec.org/cpu95/results/res98q2/cpu95-980421-02646.html
350,552,1998-04-01,Intel Corporation,Intel SE440BX motherboard (300MHz),8.1,8.82,11.7,17.1,5.44,5.04,5.65,5.22,7.83,10.5,9.97,9.1,http://www.spec.org/cpu95/results/res98q2/cpu95-980421-02647.html
351,553,1998-04-01,Intel Corporation,Intel SE440BX motherboard (333MHz),8.8,9.54,12.0,17.7,5.56,5.17,6.03,5.6,8.39,11.4,14.7,9.6,http://www.spec.org/cpu95/results/res98q2/cpu95-980421-02648.html
352,554,1998-04-01,Intel Corporation,Intel SE440BX motherboard (350MHz),10.2,11.2,14.3,20.9,6.85,6.75,6.95,6.52,9.56,12.7,15.5,10.3,http://www.spec.org/cpu95/results/res98q2/cpu95-980421-02649.html
353,554,1998-04-01,Intel Corporation,Intel SE440BX motherboard (350MHz; L2 ECC),9.9,10.8,14.0,20.1,6.79,6.38,6.73,6.39,9.37,12.5,14.8,10.0,http://www.spec.org/cpu95/results/res98q2/cpu95-980421-02635.html
354,554,1998-04-01,Intel Corporation,Intel SE440BX motherboard (350MHz; UnixWare 2.0),9.64,10.9,13.6,19.7,6.67,6.75,5.11,7.03,9.64,11.1,14.7,10.1,http://www.spec.org/cpu95/results/res98q2/cpu95-980429-02751.html
355,555,1998-04-01,Intel Corporation,Intel SE440BX motherboard (400MHz),11.4,12.4,15.9,23.3,7.51,7.26,7.75,7.27,10.7,14.2,17.7,11.8,http://www.spec.org/cpu95/results/res98q2/cpu95-980421-02650.html
356,555,1998-04-01,Intel Corporation,Intel SE440BX motherboard (400MHz; L2 ECC),11.0,12.0,15.5,22.3,7.3,6.79,7.5,7.12,10.4,14.0,16.9,11.4,http://www.spec.org/cpu95/results/res98q2/cpu95-980421-02636.html
357,555,1998-04-01,Intel Corporation,Intel SE440BX motherboard (400MHz; UnixWare 2.0),10.8,12.1,15.2,22.0,7.3,7.27,5.71,7.78,10.8,12.5,16.8,11.5,http://www.spec.org/cpu95/results/res98q2/cpu95-980429-02752.html
358,556,1998-08-01,Intel,Intel SE440BX motherboard (450MHz),11.8,12.9,16.0,23.5,7.71,7.3,8.24,7.68,11.4,15.3,19.0,12.0,http://www.spec.org/cpu95/results/res98q3/cpu95-980831-03024.html
359,556,1998-08-01,Intel,Intel SE440BX motherboard (450MHz; Unixware 2.0),11.3,12.7,15.4,22.8,7.62,7.41,6.13,8.22,11.8,13.6,18.0,12.0,http://www.spec.org/cpu95/results/res98q3/cpu95-980831-03023.html
360,574,1999-12-01,Intel Corporation,Intel SE440BX-2 motherboard,24.4,24.6,34.2,53.2,11.5,12.0,26.3,14.4,24.2,21.4,44.3,33.8,http://www.spec.org/cpu95/results/res2000q1/cpu95-19991220-03962.html
361,573,1999-12-01,Intel Corporation,Intel SE440BX-2 motherboard,23.3,23.9,33.7,52.1,11.1,11.3,24.8,13.9,23.1,20.4,41.5,32.2,http://www.spec.org/cpu95/results/res2000q1/cpu95-19991220-03964.html
362,569,1999-11-01,Intel Corporation,Intel SE440BX2 Motherboard,22.4,22.9,34.5,53.7,10.9,11.3,23.6,13.4,21.5,19.0,36.0,30.3,http://www.spec.org/cpu95/results/res99q4/cpu95-19991025-03875.html
363,571,1999-11-01,Intel Corporation,Intel SE440BX2 Motherboard,23.2,23.5,34.1,52.5,11.2,11.6,24.9,13.9,22.6,19.9,38.7,31.7,http://www.spec.org/cpu95/results/res99q4/cpu95-19991025-03879.html
